date,BEVERAGES,BREAD/BAKERY,CLEANING,DAIRY,DELI,GROCERY I,MEATS,PERSONAL CARE,POULTRY,PRODUCE
2015-01-01,3528.0,676.24,850.0,875.0,357.082,3125.0,479.767,203.0,279.16998,105.0
2015-01-02,111353.0,29702.92898,83431.0,43474.0,20804.695,245045.337,24370.203999,23581.0,26814.086005,756.0
2015-01-03,110296.0,29305.08506,83648.0,45711.0,20014.195,242694.753,21044.533846000002,24531.0,24995.85405,595.0
2015-01-04,122463.0,38390.8261,92456.0,56921.0,22452.49399,281467.988,22198.505007,27428.0,27507.856975,272.0
2015-01-05,88624.0,29377.54303,76070.0,43653.0,15715.718,225516.495,16451.88092,20566.0,20565.498,72.0
2015-01-06,73243.0,25322.076,64458.0,34717.0,13892.54,183796.494,16381.03705,16460.0,20208.880996,62.0
2015-01-07,73468.0,25318.803,66519.0,37639.0,14422.252,190431.802,17125.948024,16984.0,21402.8711,92.0
2015-01-08,66253.0,22146.23508,54471.0,29987.0,13786.719000000001,152895.354,15969.093014,13533.0,18471.512,142.0
2015-01-09,69734.0,22629.356,55107.0,31819.0,13446.89299,154820.443,21454.078029,12938.0,24314.185076,340.0
2015-01-10,98179.0,28782.654,71678.0,42677.0,17966.478,205914.659,18780.874,18743.0,24414.08799,622.0
2015-01-11,123002.0,38213.53403,84508.0,54515.0,23282.863004,256980.176,21424.822985,25118.0,29055.26302,407.0
2015-01-12,72239.0,25033.435,56290.0,35223.0,14798.814,164664.589,14449.219982999999,14350.0,18107.682039,60.0
2015-01-13,63328.0,22388.88597,49542.0,30234.0,12389.412,146325.397,15101.28105,12710.0,16615.716032,51.0
2015-01-14,66153.0,23540.47397,49866.0,31931.0,12112.482994,145297.135,16180.69809,11932.0,17071.747,90.0
2015-01-15,60565.0,21204.466,45902.0,27841.0,12543.77099,133404.024,16153.86597,11169.0,15886.03198,129.0
2015-01-16,70884.0,22694.368,51070.0,31185.0,13222.01399,146869.574,21741.19896,11763.0,21952.513836,313.0
2015-01-17,105951.0,31963.145,75768.0,46916.0,19601.893,228093.182,20679.41403,20502.0,26126.954976,576.0
2015-01-18,112461.0,38874.231,82189.0,54699.0,23252.036,255311.337,21628.585966,23802.0,28252.09306,307.0
2015-01-19,70342.0,26250.62397,56154.0,34881.0,15121.841,170050.405,15341.06894,14872.0,18231.677014,44.0
2015-01-20,58100.0,23607.57203,52908.0,30803.0,13341.059,156110.283,14835.24209,13381.0,17066.71008,56.0
2015-01-21,61233.0,24132.241,52772.0,32679.0,12607.363,156069.895,15852.058996,13052.0,17898.18404,81.0
